m,DATE ADDED,"AGE, SEX, PEDIGREE",TRAINER,INJURY,MOST RECENT RACE,NEXT RACE OR MAJOR GOAL,LAST ACTIVITY,,,,,,,,,,,,,,,
Power of Nine,6/6/2013,"5, m, Capsized - Position of Power, by Lord Carson",J. Martin,Vet list/Voided claim,"2nd $25,000 claimer (6F - BHP turf, 6/6/13)",???,,,,,,,,,,,,,,,,
Premier Pegasus,4/8/2011,"6, h, Fusaichi Pegasus - Squall Linda, by Summer Squall",M. Cho,Hairline fracture left front cannon bone (surgery to insert screw),"1st San Felipe (8.5F - SA, 3/12/11)",Jogging September 2011,4/2/11 - SA - 5F - 59.20H,,,,,,,,,,,,,,,
Prince Raphael,6/19/2012,"5, h, Shakespeare - Yankee Town, by Cape Town",D. England,Undisclosed (no surgery),"6th 'n1x' allowance (8.5F - WO polytrack, 5/12/12)",???,,,,,,,,,,,,,,,,
Proisir,3/27/2013,"5, h, Choisir - Prophet Jewel, by Encosta de Lago",G. Waterhouse,Tendon,"2nd Royal Randwick Guineas (8F turf, WARWICK, 3/16/13)",Career-threatening (Australia),,,,,,,,,,,,,,,,
Qaraaba,3/1/2013,"7, m, Shamardal - Mokaraba, by Unfuwain",S. Callaghan,Suspensory (missed month),"1st Robert J. Frankel (9F turf - SA, 12/30/12)",???,2/2/13 - SA - 4F- 48.80H,,,,,,,,,,,,,,,
Ready's Echo,1/6/2010,"9, h, More Than Ready - Menekineko, by Kingmambo",T. Pletcher,"""Jammed ankle"" (sent to Rood and Riddle clinic, Kentucky)","2nd Breeders' Cup Dirt Mile (8F - OSA Pro-Ride, 11/7/09)",???,1/4/10 - SA - 4F - 47.80H,,,,,,,,,,,,,,,
Repenting,1/4/2010,"9, g, Repent - Cuscowilla, by Notebook",J. Ness,Undisclosed surgery,"5th Claiming Crown Jewel (9F - CBY, 7/25/09)",???,,,,,,,,,,,,,,,,
Riley Ripasso,9/12/2011,"7, h, Johannesburg - Muskrat Suzie, by Vice Regent",D. England,Undisclosed,"1st With Approval (9F turf - WO, 8/13/11)",2012,,,,,,,,,,,,,,,,
Rocket Man,5/7/2013,"9, g, Viscount - Macrosa, by Mcginty",P. Shaw,Swelling left foreleg,"1st Lion City Cup (6F turf, KRAN, 4/29/12)",Singapore,,,,,,,,,,,,,,,,
Rolling Fog,9/19/2012,"4, c, Posse - Fog Dance, by Unbridled's Song",B. Baffert,Shins + Undisclosed surgery + Quarter crack + Shoulder,"1st Del Mar Futurity (7F - DMR polytrack, 9/8/12)",???,,,,,,,,,,,,,,,,
Rouse the Cat,2/26/2010,"10, g, Sir Cat - Crouse Mill, by Strike Gold",O. Figgins III,Stifle,"3rd Karl Boyes Memorial (5.5F - PID Tapeta, 6/7/09)",Likely Retired,,,,,,,,,,,,,,,,
Santa Fe Belle,1/17/2014,"3, f, Fusaichi Pegasus - Athena Two O Four, by El Prado",T. Yakteen,Equine herpesvirus,Unraced,???,,,,,,,,,,,,,,,,
Semaphore Man,1/15/2010,"12, g, Formal Gold - Semaphore Ms., by Lost Code",K. Von Hemel,Physical setbacks,"3rd Iowa Sprint (6F - PRM, 6/27/09)",2010,12/7/09 - RP - 5F - 1:02.60B,,,,,,,,,,,,,,,
Shared Belief,1/12/2014,"3, g, Candy Ride - Common Hope, by Storm Cat",J. Hollendorfer,"Grabbed quarter, Quarter crack right front foot (missed month)","1st CashCall Futurity (8.5F - BHP cushion track, 12/14/13)",???,,,,,,,,,,,,,,,,
Shipping News,3/3/2011,"7, g, Point Given - Camargo, by Brief Truce",R. Lerman,"Overheated, jumped in infield pond","DNF Maiden Special Weight (11F turf - TAM, 2/17/11)",???,1/15/11 - LMB - 5F - 1:05.80B,,,,,,,,,,,,,,,
Smartie Bobbi,3/18/2012,"7, m, Smarty Jones - Merrill Gold, by Gold Fever",J. Serey,Slab fracture left knee,"DNF $7,500 'beaten' claimer (6F - AQU inner track, 3/18/12)",Life-threatening,1/19/12 - MTC - 4F - 50.00B,,,,,,,,,,,,,,,
Snakebite Kit,11/19/2011,"8, g, Sky Classic - Michelle's Crown, by Glitterman",E. Johnston,Undisclosed     ,"1st Louisiana Cup Turf (8.5F turf - FG, 12/11/10)",???,11/17/11 - FG - 5F - 59.80B,,,,,,,,,,,,,,,
Snow Fairy,9/29/2012,"7, m, Intikhab - Woodland Dream, by Charnwood Forest",E. Dunlop,Heat foreleg + Undisclosed,"1st Irish Champion (10F turf - LEO, 9/8/12",Europe,,,,,,,,,,,,,,,,
Soul of the Forest,2/23/2011,"7, m, Perfect Soul - Timber Ice, by Woodman",R. Attfield,Unsound,,???,,,,,,,,,,,,,,,,
Spectacular Sky,4/13/2013,"6, m, Sky Mesa - La Princesse Jolie, by Boone's Mill",M. Wolfson,Fever,"2nd Inside Information (7F - GP, 3/17/13)",???,4/7/13 - CRC - 4F - 49.80B,,,,,,,,,,,,,,,
Successful Dan,4/1/2014,"8, g, Successful Appeal - Lisa Danielle, by Wolf Power",C. LoPresti,Inflamed ligament (tack-walked for couple weeks),"3rd Woodward (9F - SAR, 8/31/13)",???,,,,,,,,,,,,,,,,
Terlinqua's Gift,1/14/2012,"5, h, Roar of the Tiger - Connie's Charmer, by Pioneering",R. Potts,Bled workout,,???,1/29/12 - TAM - 4F - 51.80B,,,,,,,,,,,,,,,
The Drifter,11/26/2012,"4, g, Seeking a Home - Lady Radkey, by Cutlass Fax",C. Autrey,Cracked knee (surgery to insert screw),"DNF Clever Trevor (7F - RP, 11/9/12)",???,11/3/12 - RP - 5F - 1:02.80H,,,,,,,,,,,,,,,
The Very Finest,1/7/2012,"5, h, Unusual Heat - Strut Your Stuff, by Bold Badgett",B. Headley,Sick (vet's list),,???,1/5/12 - SA - 3F - 36.80H,,,,,,,,,,,,,,,
Tight Britches,6/13/2014,"6, m, Lucky Lionel - Millenium Beauty, by New Way",K. Broberg,Bowed tendon,"1st starter/optional claimer (5F - EVD, 6/12/14)",year layoff or broodmare,,,,,,,,,,,,,,,,
Timely Tally,12/27/2011,"5, h, Mr. Greeley - Score, by A.P. Indy",I. Wilkes,Tendon,"3rd Kentucky Jockey Club (8.5F - CD, 11/26/11)",???,11/21/11 - CD - 4F - 51.40B,,,,,,,,,,,,,,,
Tiz Blessed,2/21/2011,"6, h, Tiznow - Starboard Stinger, by Hennessy",C. Brown,"""He doesn't look right behind..."" - C. Brown (DRF)","1st Display (8.5F - WO polytrack, 11/26/10)",???,2/17/11 - PMM - 4F - 49.00B,,,,,,,,,,,,,,,
Top Billing,3/8/2014,"3, c, Curlin - Parade Queen, by A.P. Indy",C. McGaughey III,Cracked cannon bone right front leg (surgery),"3rd Fountain of Youth (8.5F - GP, 2/22/14)",???,,,,,,,,,,,,,,,,
Toronado,9/9/2013,"4, c, High Chaparral - Wana Doo, by Grand Slam",R. Hannon,Breathing problem (surgery),6th Juddmonte International (10F turf - York - 8/21/13),???,,,,,,,,,,,,,,,,
Trojenna,4/26/2013,"5, m, Lawyer Ron - Xylonia, by Horse Chestnut",G. Mandella,Scratched gate (cut),"5th maiden special weight (8F turf - SA, 4/5/13)",???,5/1/13 - BHP - 6F - 1:13.60H,,,,,,,,,,,,,,,
True Change,3/8/2013,"6, g, Changeintheweather - True Content, by True Colors",C. Gore,Bled,"6th $25,000 'n2L' claimer (8.5F - LRL, 2/6/13)",???,,,,,,,,,,,,,,,,
Twelve Sixty Seven,4/28/2011,"7, m, New York Prospect - Fourty Six October, by Pentelicus",I. Paquette,Vet list,,???,,,,,,,,,,,,,,,,
Two Ninety Five,1/31/2011,"8, g, Smooth Jazz - Miss Evans, by Nijinsky II",D. Bennett,Sore ,"5th $16,000 claimer (8.5F turf - TAM, 1/30/11)",???,,,,,,,,,,,,,,,,
Typhoon Slew,11/6/2010,"6, h, Stormy Atlantic - Hepatica, by Slewpy",M. Maker,Lame,"4th Breeders' Futurity (8.5F - KEE polytrack, 10/9/10)",???,10/29/11 - HOL - 4F - 47.80H,,,,,,,,,,,,,,,
Ultimate Eagle,2/9/2013,"6, h, Mizzen Mast - Letithappencaptain, by Captain Bodgit",M. Pender,"Grabbed quarter, grabbed left front ankle","DNF Donn Handicap (9F - GP, 2/9/13)",???,,,,,,,,,,,,,,,,
Vionnet,10/27/2013,"5, m, Street Sense - Cambiocorsa, by Avenue of Flags",R. Mandella,"""Jarred up"" - R. Mandella","3rd Rodeo Drive (10F turf - SA, 9/28/13)",???,10/21/13 - SA turf - 6F - 1:15.20H,,,,,,,,,,,,,,,
Voodoo Daddy,6/30/2012,"5, h, City Zip - Deadly, by Williamstown",S. Asmussen,Cuts (sent to Rood and Riddle),"DNF 'n2x' optional claimer (5F turf - CD, 6/29/12)",???,6/25/12 - CD - 4F - 52.20B,,,,,,,,,,,,,,,
Walkamileinmyshoes,2/24/2012,"6, h, Officer - Saint's Play, by Saint Ballado",B. Parboo,Lame,"3rd $12,500 maiden claimer (8F - GP, 2/24/11)",???,,,,,,,,,,,,,,,,
Walkwithapurpose,5/15/2013,"4, f, Candy Ride - Lightning Lydia, by Broad Brush",I. Correas IV,Bruised foot,"3rd Gazelle (9F - AQU, 4/6/13)",???,5/10/13 - PIM - 4F - 47.40B,,,,,,,,,,,,,,,
Waukegan,7/31/2011,"7, h, Ecton Park - P J Floral, by Baldski",P. Nichols,Vet list, ,???,9/30/11 - CRC - 4F - 50.00B,,,,,,,,,,,,,,,
Went the Day Well,3/13/2013,"5, h, Proud Citizen - Tiz Maie's Day, by Tiznow",H. Motion,Paralyzed left vocal cord (tie-back surgery),"5th 'n2x' optional claimer (8.32F - AQU, 3/3/13)",???,2/24/13 - PMM - 5F - 1:01.80B,,,,,,,,,,,,,,,
William's Wishes,1/26/2013,"9, g, Oscar - Strong Wishes, by Strong Gale",E. Williams,Lame,"1st Casino Handicap Chase (16F - SAN, 1/3/13)",???,,,,,,,,,,,,,,,,
Z Big Apple,1/15/2013,"4, c, Malibu Moon - Stormy Monday, by Storm Cat",B. Baffert,Non-displaced condylar fracture in the right front leg (surgery to insert screws and plate),"1st 'n1x' optional claimer (6F - BHP cushion track, 12/6/12)",???,1/15/13 - BHP - 3F - 36.00H,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
DELETIONS - 2014,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Almost Famous,11/30/2013,"3, c, Unbridled's Song - Wild Gams, by Forest Wildcat",P. Byrne,Stone bruise left hind foot,Finished fourth at 12-1 odds in the Grade 2 Holy Bull Stakes at Gulfstream on January 25,,,,,,,,,,,,,,,,,
Amira's Prince,2/3/2014,"5, h, Teofilo - Twice the Ease, by Green Desert",W. Mott,Wasn't moving well - W. Mott,Finished third at 5-2 odds in the Grade 1 Gulfstream Park Turf Handicap at Gulfstream on February 9,,,,,,,,,,,,,,,,,
Ari the Adventurer,8/6/2013,"3, f, Pioneerof the Nile - Wild Catseye, by Forest Wildcat",T. Pletcher,"""I have not been satisfied with the way she went the last couple of days"" - T. Pletcher",Finished third at 3-10 odds in an 'n1x' optional claimer at Aqueduct on April 6,,,,,,,,,,,,,,,,,
Baratti,2/6/2014,"3, c, Medaglia d'Oro - Surf Song, by Storm Cat",K. McLaughlin,Temperature (missed few days),Finished sixth at 8-5 odds in the Private Terms Stakes at Laurel on March 8,,,,,,,,,,,,,,,,,
Bayern,1/22/2014,"3, c, Offlee Wild - Alittlebitearly, by Thunder Gulch",B. Baffert,Sick (missed few days),Finished first at 3-5 odds in an 'n1x' allowance at Santa Anita on February 13,,,,,,,,,,,,,,,,,
Bayern,3/6/2014,"3, c, Offlee Wild - Alittlebitearly, by Thunder Gulch",B. Baffert,Foot bruise,Finished third at 8-5 odds in the Grade 1 Arkansas Derby at Oaklawn on April 12,,,,,,,,,,,,,,,,,
Bridgehampton,7/21/2013,"4, f, Bernardini - Teton National, by Forestry",M. Hushion,Fever (missed a week),Finished first at 6-5 odds in an 'n1x' allowance at Aqueduct on March 23,,,,,,,,,,,,,,,,,
Broadway Empire,2/11/2014,"4, g, Empire Maker - Broadway Hoofer, by Belong to Me",R. Diodoro,Two quarter cracks,Finished first at 1-10 odds in an 'n1x' optional claimer at Turf Paradise on April 12,,,,,,,,,,,,,,,,,
Called to Serve,4/18/2013,"5, g, Afleet Alex - Andover Lady, by Kris S.",N. Canani/S. Asmussen,Splint bone (surgery),Finished sixth at 4-1 odds in the Grade 3 Razorback Handicap at Oaklawn on March 15,,,,,,,,,,,,,,,,,
Candy Dandy,8/20/2013,"3, c, Candy Ride - Saracina, by Bertrando",S. Asmussen,Chip (surgery),Finished fourth at 7-10 odds in an 'n1x' optional claimer at Fair Grounds on March 13,,,,,,,,,,,,,,,,,
Cassatt,12/5/2013,"3, f, Tapit - Justenufftime, by Giant's Causeway",J. Jones,Bucked shin,Finished first at 7-10 odds in a maiden special weight at Fair Grounds on January 9,,,,,,,,,,,,,,,,,
Circular Logic,4/28/2013,"4, f, Street Boss - Airizon, by Boston Harbor",M. Mitchell,Scratched (unsound),"Finished fourth at 2-1 odds in a $20,000 maiden claimer at Santa Anita on January 9",,,,,,,,,,,,,,,,,
Cleburne,11/4/2013,"3, c, Dixie Union - Joyful, by Distorted Humor",D. Romans,Bucked left shin (surgery),Finished third at 5-1 odds in the Calder Derby at Calder on April 5,,,,,,,,,,,,,,,,,
Clubhouse Ride,11/29/2013,"6, h, Candy Ride - Seeking Results, by Seeking the Gold",C. Lewis,Foot (glue-on shoes after flawed trimming procedure),Finished fifth at 10-1 odds in the Joe Hernandez Stakes at Santa Anita on February 23,,,,,,,,,,,,,,,,,
Coffee Clique,9/18/2013,"4, f, Medaglia d'Oro - Miss Chapin, by Royal Academy",B. Lynch,Ankle (surgery),Finished first at 2-1 odds in an 'opc-c' at Gulfstream on March 26,,,,,,,,,,,,,,,,,
Cousin Stephen,1/13/2014,"3, c, Proud Citizen - Gallant Dreamer, by Belong to Me",C. Brown,Mucus,Finished third at 7-2 odds in the Grade 3 Sam F. Davis Stakes at Tampa Bay on February 1,,,,,,,,,,,,,,,,,
Deceptive Vision,2/26/2013,"4, f, A.P. Indy - Eye of the Sphynx, by Smart Strike",M. Pierce,Bruised foot,Finished first at 5-2 odds in an 'n2x' optional claimer at Fair Grounds on February 22,,,,,,,,,,,,,,,,,
Delaunay,11/23/2013,"7, g, Smoke Glacken - Perilous Night, by Coronado's Quest",T. Amoss,103-degree temperature  ,Finished first at 2-5 odds in the F. W. Gaudin Memorial Stakes at Fair Grounds on January 25,,,,,,,,,,,,,,,,,
Delegation,10/7/2013,"5, g, Speightstown - Cindy's Hero, by Sea Hero",M. Casse,Bled,DNF at 3-1 odds in the Grade 3 Vigil Stakes at Woodbine on May 11,,,,,,,,,,,,,,,,,
Departing,2/19/2014,"4, g, War Front - Leave, by Pulpit",A. Stall Jr.,Bruised foot,Finished first at 4-5 odds in an 'n3x' optional claimer at Churchill on April 30,,,,,,,,,,,,,,,,,
D' Sauvage,1/25/2014,"6, g, D'wildcat - Tres Chaud, by French Deputy",N. Chatterpaul,Blood and mucus in lungs,Finished fifth at 22-1 odds in an 'n1x' allowance at Aqueduct on January 27,,,,,,,,,,,,,,,,,
Eblouissante,7/21/2013,"5, m, Bernardini - Vertigineux, by Kris S.",J. Shirreffs,"Broke 2 teeth, ""grabbed herself legs"" + Muscle sore",Finished second at 3-5 odds in an 'n2x' optional claimer at Santa Anita on February 13,,,,,,,,,,,,,,,,,
Expensive Jet,1/6/2014,"4, g, Jet West - Most Expensive, by Out of Place",C. Mahorney,Broken splint bone,Finished sixth at 31-1 odds in a maiden special weight at Golden Gate on January 9,,,,,,,,,,,,,,,,,
Famous Alice,1/3/2014,"3, f, Kitten's Joy - Quiet Alice, by Quiet American",T. Proctor,Foot abscess,Finished second at 17-10 odds in an 'n1x' optional claimer at Santa Anita on January 19,,,,,,,,,,,,,,,,,
Fierce Boots,1/4/2014,"3, f, Tiznow - Shop Again, by Wild Again",T. Pletcher,Cut left hind leg,Finished fourth at 4-1 odds in the Busher Stakes at Aqueduct on February 1,,,,,,,,,,,,,,,,,
Financial Mogul,2/6/2014,"3, c, Street Boss - Trav n' Kris, by Snow Chief",R. Violette Jr.,Lung mucus,Finished fourth at 6-1 odds in the Grade 3 Gotham Stakes at Aqueduct on March 1,,,,,,,,,,,,,,,,,
Fiftyshadesofgold,8/12/2013,"3, f, My Golden Song - Hadif Cat, by Hadif",W. Calhoun,"Fractured left shin, Chip right knee (surgery)",Finished first at 2-5 odds in the Two Altazano Stakes at Sam Houston on February 15,,,,,,,,,,,,,,,,,
Golden Soul,9/20/2013,"4, c, Perfect Soul - Hollywood Gold, by Mr. Prospector",D. Stewart,Sore pastern and foot,Finished fifth at 27-1 odds in the Grade 2 New Orleans Handicap at Fair Grounds on March 29,,,,,,,,,,,,,,,,,
Goldstryke Glory,11/3/2013,"4, f, Second in Command - Glory Is Forever, by Roar",K. Callaghan,Virus,Finished fourth at 9-5 odds in the Grade 3 Whimsical Stakes at Woodbine on April 26,,,,,,,,,,,,,,,,,
Govenor Charlie,12/29/2013,"4, c, Midnight Lute - Silverbulletway, by Storm Cat",B. Baffert,Hind-end + Tied up,Finished second at 6-1 odds in the Grade 2 Strub Stakes at Santa Anita on January 18,,,,,,,,,,,,,,,,,
Grace Hall,4/18/2013,"5, m, Empire Maker - Season's Greetings, by Ezzoud",A. Dutrow,"Bruised left front foot, Incomplete fracture right front foot + Eye",Finished second at 5-1 odds in the Grade 2 Ruffian Stakes at Belmont on May 11,,,,,,,,,,,,,,,,,
Havana,3/1/2014,"3, c, Dunkirk - Missy Turtle, by Kyle's Our Man",T. Pletcher,Quarter crack right front foot,Finished third at 1-5 odds in the Gold Fever Stakes at Belmont on May 4,,,,,,,,,,,,,,,,,
Holy Lute,1/2/2014,"4, c, Midnight Lute - Holy Christmas, by Holy Bull",J. Cassidy,Lung infection,Finished fourth at 9-2 odds in an 'n2x' optional claimer at Santa Anita on May 16,,,,,,,,,,,,,,,,,
Honor Code,1/29/2014,"3, r, A.P. Indy - Serena's Cat, by Storm Cat",C. McGaughey III,Bruised back ankles (missed 10 days),Finished second at 1-2 odds in an 'ANC' allowance at Gulfstream on March 12,,,,,,,,,,,,,,,,,
Honor the Kitten,2/20/2014,"4, c, Kitten's Joy - Blazing Bliss, by Honour and Glory",M. Maker,Knee chip (surgery),Finished eighth at 3-1 odds in an 'n1x' optional claimer at Gulfstream on February 22,,,,,,,,,,,,,,,,,
Include the Cat,6/2/2013,"7, m, Include - Cat Be Quick, by Tactical Cat",P. Miller,Sore foot (vet list/voided claim),Finished third at 5-2 odds in an 'n1x' optional claimer at Santa Anita on January 26,,,,,,,,,,,,,,,,,
In Trouble,10/11/2013,"3, c, Tiz Wonderful - Ballpark Butterfly, by Grand Slam",A. Dutrow,Chip left knee (surgery),Finished third at 9-2 odds in the Grade 3 Gotham Stakes at Aqueduct on March 1,,,,,,,,,,,,,,,,,
Itsmyluckyday,6/15/2013,"4, c, Lawyer Ron - Viva La Slew, by Doneraile Court",E. Plesa Jr.,Hairline fracture pelvis,Finished fourth at 7-2 odds in the Grade 2 Gulfstream Park Handicap at Gulfstream on March 8,,,,,,,,,,,,,,,,,
Jenna's Wabbit,6/26/2013,"5, g, Old Forester - In the Buff, by Take Me Out",R. Biamonte,Foot abscess,Finished sixth at 3-1 odds in an 'ANC' allowance at Woodbine on April 27,,,,,,,,,,,,,,,,,
Kindle,1/3/2014,"6, m, Indian Charlie - Carson's Vanity, by Carson City",G. Mandella,Ankle chip (surgery),Finished second at 2-1 odds in the Grade 3 Monrovia Stakes at Santa Anita on January 5,,,,,,,,,,,,,,,,,
Kitten Kaboodle,11/2/2013,"3, f, Kitten's Joy - Easy Slam, by Grand Slam",C. Brown,Bled,Finished seventh at 3-1 odds in the Grade 3 Florida Oaks at Tampa Bay on March 8,,,,,,,,,,,,,,,,,
Lakerville,9/24/2013,"6, h, Unusual Heat - Foreverinthegame, by Out of Place",B. Abrams,Undisclosed + Setback,Finished first at 8-1 odds in the Clocker's Corner Stakes at Santa Anita on January 26,,,,,,,,,,,,,,,,,
Let Faith Arise,12/26/2013,"4, f, Kafwain - Babe Hall, by El Corredor",J. Hollendorfer,Illness,Finished second at 14-1 odds in the Grade 2 La Canada Stakes at Santa Anita on January 19,,,,,,,,,,,,,,,,,
Mac the Man,1/3/2014,"4, c, El Corredor - Marchmont, by Mountain Cat",J. Greenhill,Foot bruise + Testicular problem (surgery),Finished tenth at 11-1 odds in the Forego Stakes at Turfway on January 18,,,,,,,,,,,,,,,,,
Mean Season,1/18/2014,"4, c, Henny Hughes - Mean Imogene, by Silver Deputy",W. Mott,Temperature (scratched 1/18),Finished first at 1-10 odds in an 'n2x' optional claimer at Aqueduct on March 1,,,,,,,,,,,,,,,,,
Midnight Transfer,1/2/2014,"5, h, Hard Spun - French Satin, by French Deputy",C. Gaines,Undisclosed,Finished fourth at 1-1 odds in the Midnight Lute Stakes at Santa Anita on January 4,,,,,,,,,,,,,,,,,
Miss Narcissist,12/23/2013,"3, f, Freud - Mighty Good, by Good and Tough",L. Rice,"Cuts on hind legs, left hind foot (scratched 12/22/13)",Finished fifth at 5-2 odds in the New York Stallion Stakes at Aqueduct on April 27,,,,,,,,,,,,,,,,,
Moreno,12/19/2013,"4, g, Ghostzapper - Danceinthesunlight, by A.P. Indy",E. Guillot,Splint bone ,Finished third at 9-1 odds in the Grade 2 Charles Town Classic Stakes at Charles Town on April 19,,,,,,,,,,,,,,,,,
Morgan's Guerrilla,2/20/2014,"5, h, Ghostzapper - Rutledge Ballado, by Saint Ballado",M. Maker,Tendon,Finished third at 8-1 odds in an 'n1x' optional claimer at Gulfstream on February 22,,,,,,,,,,,,,,,,,
Mucho Mas Mucho,10/10/2013,"5, g, Macho Uno - A. P. Andie, by Star de Naskra",H. Collazo,"Threw shoe work, injured foot",Finished eighth at 36-1 odds in the Grade 2 Ft. Lauderdale Stakes at Gulfstream on January 11,,,,,,,,,,,,,,,,,
Mylute,9/21/2013,"4, c, Midnight Lute - Stage Stop, by Valid Expectations",T. Amoss,Bled,Finished first at 4-5 odds in an 'n2x' optional claimer at Fair Grounds on March 27,,,,,,,,,,,,,,,,,
Noble Moon,12/2/2013,"3, c, Malibu Moon - Mambo Bell, by Kingmambo",L. Gyarmati,Hives (vet's list),Finished first at 4-5 odds in the Grade 2 Jerome Stakes at Aqueduct on January 4,,,,,,,,,,,,,,,,,
Noble Moon,1/18/2014,"3, c, Malibu Moon - Mambo Bell, by Kingmambo",L. Gyarmati,Right front foot (missed 3 weeks) + Left front foot,Finished sixth at 20-1 odds in the Grade 1 Wood Memorial Stakes at Aqueduct on April 5,,,,,,,,,,,,,,,,,
Normandy Invasion,8/9/2013,"4, c, Tapit - Boston Lady, by Boston Harbor",C. Brown,Foot abscess + Body soreness,Finished first at 1-5 odds in an 'n1x' optional claimer at Gulfstream on February 22,,,,,,,,,,,,,,,,,
Oh Daddy Oh,12/27/2013,"3, g, Scat Daddy - Impeachable, by Ends Well",P. Miller,Sick,Finished sixth at 16-1 odds in an 'n1x' optional claimer at Santa Anita on January 16,,,,,,,,,,,,,,,,,
On Fire Baby,3/13/2014,"5, m, Smoke Glacken - Ornate, by Gilded Time",G. Hartlage,Ulcers,Finished fourth at 9-2 odds in the Grade 2 Azeri Stakes at Oaklawn on March 15,,,,,,,,,,,,,,,,,
Our Amazing Rose,8/13/2013,"3, f, Yes It's True - Just for You, by Silver Deputy",T. Pletcher,Colic (surgery),Finished first at 2-5 odds in an 'n1x' optional claimer at Aqueduct on March 17,,,,,,,,,,,,,,,,,
Paso Doble,9/19/2013,"8, g, Bold n' Flashy - Dance Lessons, by Foxhound",M. Casse,Undisclosed,Finished seventh at 9-2 odds in the Jacques Cartier Stakes at Woodbine on April 13,,,,,,,,,,,,,,,,,
Perfect Timber,10/28/2013,"5, h, Perfect Soul - Timber Ice, by Woodman",R. Attfield,Cut (4 stitches),Finished eighth at 7-2 odds in an 'n2x' allowance at Keeneland on April 12,,,,,,,,,,,,,,,,,
Positive Response,11/13/2013,"6, g, Pomeroy - Lisa's Approval, by Farma Way",W. Morey,Infected hind leg,Finished fifth at 9-2 odds in an 'ANC' allowance at Golden Gate on April 6,,,,,,,,,,,,,,,,,
Proroguing,10/11/2013,"3, g, Silent Name - Executive Mist, by Bold Executive",R. Tiller,Shins,Finished second at 2-1 odds in an 'n2L' allowance at Woodbine on April 26,,,,,,,,,,,,,,,,,
Ride On Curlin,1/10/2014,"3, c, Curlin - Magical Ride, by Storm Cat",W. Gowan,Lung infection,Finished first at 6-5 odds in an 'n1x' allowance at Oaklawn on January 12,,,,,,,,,,,,,,,,,
Roman Threat,1/2/2014,"6, g, Roman Ruler - Shameful, by Flying Chevron",B. Baffert/D. McFarlane,Temperature,Finished seventh at 5-2 odds in the Phoenix Gold Cup Handicap at Turf Paradise on February 15,,,,,,,,,,,,,,,,,
Ron the Greek,10/31/2013,"7, h, Full Mandate - Flambe', by Fortunate Prospect",W. Mott/N. Bachalard,Bruised heel right front + Quarter crack right front + Privately sold to foreign interests,Finished first at ??? odds in the Abdullah A. Albassam Award at ??? (Saudi Arabia) on February 15,,,,,,,,,,,,,,,,,
Rydilluc,9/13/2013,"4, c, Medaglia d'Oro - Swift and Classy, by Clever Trick",G. Contessa,Had a couple of little things nagging him... - G. Contessa,Finished fifth at 7-2 odds in the Grade 3 Canadian Turf Handicap at Gulfstream on February 22,,,,,,,,,,,,,,,,,
Saratoga Snacks,11/30/2013,"5, r, Tale of the Cat - Near and Dear, by Red Ransom",G. Sciacca,"Grabbed quarter + Body sore (missed 7-10 days) + Foot (scratched 12/21, 12/28)",Finished second at 7-5 odds in the Whodam Stakes at Aqueduct on January 19,,,,,,,,,,,,,,,,,
Saticoy,3/20/2013,"4, c, Bertrando - Demo Memo, by Memo",G. Mandella,Chip right front ankle (surgery),Finished seventh at 3-5 odds in an 'n1x' optional claimer at Santa Anita on May 3,,,,,,,,,,,,,,,,,
Schoolofhardrocks,9/28/2013,"3, c, Rock Hard Ten - Miss Chapin, by Royal Academy",D. Hofmans,Hind ankle  ,Finished fourth at 9-2 odds in the Grade 2 San Felipe Stakes at Santa Anita on March 8,,,,,,,,,,,,,,,,,
Siete de Oros,4/22/2013,"4, g, A.P. Warrior - Crafty Sarah, by Crafty Friend",R. Preciado,Lame,"Finished second at 2-5 odds in a $25,000 claimer at Parx on April 22",,,,,,,,,,,,,,,,,
